"Year","Player","Pos","Age","Tm","G","MP","PTS","AST","TRB","STL","BLK","FG.","X3P","X3PA","X3P.","FT.","PER","WS","BPM","VORP","TS."
1990,"Mark Acres","C",27,"ORL",80,1691,362,67,431,36,25,0.484,3,4,0.75,0.692,8.3,1.6,-2,0,0.536
1990,"Michael Adams","PG",27,"DEN",79,2690,1221,495,225,121,3,0.402,158,432,0.366,0.85,15.4,6.9,1.7,2.5,0.542
1990,"Mark Aguirre","SF",30,"DET",78,2005,1099,145,305,34,19,0.488,31,93,0.333,0.756,15.8,5.7,0.6,1.3,0.544
1990,"Danny Ainge","PG",30,"SAC",75,2727,1342,453,326,113,18,0.438,108,289,0.374,0.831,16.1,4.8,1.6,2.5,0.528
1990,"Mark Alarie","PF",26,"WSB",82,1893,860,142,374,60,39,0.473,10,49,0.204,0.812,14.1,3.1,-1,0.5,0.51
1990,"Steve Alford","PG",25,"DAL",41,302,168,39,25,15,3,0.457,7,22,0.318,0.946,18.7,0.9,-1,0.1,0.544
1990,"Randy Allen","SG",25,"SAC",63,746,235,23,138,16,19,0.444,0,7,0,0.535,8.4,0.2,-5.9,-0.7,0.456
1990,"Greg Anderson","PF",25,"MIL",60,1291,529,24,373,32,54,0.507,0,0,NA,0.535,13,2,-4.8,-0.9,0.522
1990,"Nick Anderson","SG",22,"ORL",81,1785,931,124,316,69,34,0.494,1,17,0.059,0.705,14.9,1.8,-1.7,0.1,0.536
1990,"Richard Anderson","PF",29,"CHH",54,604,231,55,127,20,9,0.417,37,100,0.37,0.783,13.3,1,-0.1,0.3,0.522
1990,"Ron Anderson","SF",31,"PHI",78,2089,926,143,295,72,13,0.451,3,21,0.143,0.838,13.9,3.8,-1.6,0.2,0.499
1990,"Willie Anderson","SG",23,"SAS",82,2788,1288,364,372,111,58,0.492,7,26,0.269,0.748,15.2,6.5,1.4,2.4,0.532
1990,"Michael Ansley","SF",22,"ORL",72,1221,626,40,362,24,17,0.497,0,0,NA,0.722,17.3,3.3,-1.5,0.1,0.554
1990,"B.J. Armstrong","PG",22,"CHI",81,1291,452,199,102,46,6,0.485,3,6,0.5,0.885,11.9,1.7,-4.8,-0.9,0.53
1990,"John Bagley","PG",29,"BOS",54,1095,230,296,89,40,4,0.459,1,18,0.056,0.744,10.8,1.1,-4.2,-0.6,0.489
1990,"Thurl Bailey","SF",28,"UTA",82,2583,1162,137,410,32,100,0.481,0,8,0,0.779,13.4,4.6,-0.7,0.8,0.527
1990,"Ken Bannister","PF",29,"LAC",52,589,206,18,112,17,7,0.478,0,1,0,0.473,7.6,0.1,-6.2,-0.6,0.492
1990,"Charles Barkley*","SF",26,"PHI",79,3085,1989,307,909,148,50,0.6,20,92,0.217,0.749,27.1,17.3,9.8,9.2,0.661
1990,"Dana Barros","PG",22,"SEA",81,1630,782,205,132,53,1,0.405,95,238,0.399,0.809,12.8,1.8,-2.1,0,0.497
1990,"John Battle","SG",27,"ATL",60,1477,654,154,99,28,3,0.506,2,13,0.154,0.756,12.6,1.7,-3.2,-0.5,0.542
1990,"Kenny Battle","SG",25,"PHO",59,729,242,38,124,35,11,0.547,1,4,0.25,0.671,12.2,1.9,0.9,0.5,0.587
1990,"William Bedford","C",26,"DET",42,246,118,4,58,3,17,0.432,1,6,0.167,0.409,9.5,-0.1,-9.2,-0.4,0.438
1990,"Benoit Benjamin","C",25,"LAC",71,2313,959,159,657,59,187,0.526,0,1,0,0.732,16.7,5.4,1.9,2.3,0.578
1990,"Winston Bennett","SF",24,"CLE",55,990,338,54,188,23,10,0.479,0,0,NA,0.667,10,1.1,-3.2,-0.3,0.515
1990,"Larry Bird*","SF",33,"BOS",75,2944,1820,562,712,106,61,0.473,65,195,0.333,0.93,21.9,9.5,6.1,6.1,0.546
1990,"Uwe Blab","C",27,"TOT",47,531,98,25,108,1,22,0.398,0,0,NA,0.541,3.3,-0.4,-6.4,-0.6,0.429
1990,"Uwe Blab","C",27,"GSW",40,481,83,24,99,1,22,0.379,0,0,NA,0.548,3.3,-0.4,-6,-0.5,0.412
1990,"Uwe Blab","C",27,"SAS",7,50,15,1,9,0,0,0.545,0,0,NA,0.5,3.1,0,-10,-0.1,0.55
1990,"Rolando Blackman","SG",30,"DAL",80,2934,1552,289,280,77,21,0.498,13,43,0.302,0.844,17,6.8,0.5,1.9,0.552
1990,"Mookie Blaylock","PG",22,"NJN",50,1267,505,210,140,82,14,0.371,18,80,0.225,0.778,11.5,-0.3,-2,0,0.416
1990,"Muggsy Bogues","PG",25,"CHH",81,2743,763,867,207,166,3,0.491,5,26,0.192,0.791,16.9,6.7,-0.9,0.7,0.528
1990,"Manute Bol","C",27,"GSW",75,1310,146,36,276,13,238,0.331,9,48,0.188,0.51,7.2,0,-1.1,0.3,0.383
1990,"Anthony Bowie","SG",26,"HOU",66,918,284,96,118,42,5,0.406,6,21,0.286,0.741,8.8,0.7,-3.6,-0.4,0.448
1990,"Sam Bowie","C",28,"NJN",68,2207,998,91,690,38,121,0.416,10,31,0.323,0.776,16.2,4.7,-1.2,0.4,0.499
1990,"Adrian Branch","SF",26,"MIN",11,91,65,4,20,6,0,0.41,1,1,1,0.636,16.9,0,-6.3,-0.1,0.46
